STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Haryana,Ambala,1999,24,24,2,10,1,11,36,33,4,1,4,16,318,367,153,210,4,14,76,1,12,281,11,27,2,132,2,1,983,2348,93.92
Tamil Nadu,Madurai Rural,1999,64,51,2,13,1,15,30,21,9,12,1,42,138,353,87,262,284,23,59,3,33,2070,5,54,10,69,0,265,1303,4876,75.01538461538462
Assam,Darrang,1999,59,12,1,50,1,50,62,47,19,21,1,30,109,185,1,184,99,22,26,1,16,319,11,56,2,36,1,68,274,1454,24.233333333333334
Bihar,Khagaria,1999,71,29,3,5,1,4,33,8,27,4,3,27,15,88,6,77,168,3,5,1,0,7,11,6,2,4,1,58,352,896,12.444444444444445
Kerala,Malappuram,1999,21,33,6,71,1,71,16,3,15,7,0,12,288,340,155,181,663,41,212,14,29,1117,4,90,2,448,1,2,4009,7429,337.6818181818182
Jharkhand,Giridih,1999,63,67,7,40,1,43,17,8,5,55,1,26,116,109,58,54,175,20,51,2,23,36,31,12,1,57,1,66,951,1918,29.96875
Himachal Pradesh,Shimla,1999,14,12,1,19,1,17,11,11,1,0,2,8,169,188,41,144,123,14,33,2,13,89,2,49,3,31,2,62,1125,1962,130.8
Uttar Pradesh,Banda,1999,75,51,12,28,2,25,31,20,12,6,2,31,87,109,10,94,72,21,54,1,12,249,23,52,20,50,1,69,675,1723,22.67105263157895
Bihar,Gaya,1999,200,169,6,23,1,26,67,15,53,98,0,114,150,417,49,368,418,59,78,2,22,290,25,25,2,23,2,125,864,3181,15.82587064676617
Haryana,Panchkula,1999,10,7,3,5,2,4,20,14,4,3,0,6,117,226,96,130,1,21,20,1,2,19,2,21,8,42,1,73,442,1054,95.81818181818181
Tamil Nadu,Dharmapuri,1999,87,86,1,16,2,15,36,32,4,9,1,24,214,429,184,240,434,4,31,0,75,842,6,67,7,18,2,371,2370,5125,58.23863636363637
Madhya Pradesh,Neemuch,1999,18,18,0,36,2,35,17,6,7,5,1,13,203,376,52,325,65,24,33,3,19,393,2,81,16,63,2,50,775,2208,116.21052631578948
Uttarakhand,Pithoragarh,1999,10,4,4,6,1,7,3,2,1,1,2,5,26,41,2,39,13,5,9,2,1,13,1,7,5,12,2,2,203,364,33.09090909090909
Uttar Pradesh,Chitrakoot Dham,1999,29,17,3,10,2,6,4,4,3,4,0,1,23,29,4,23,16,10,22,2,0,81,6,18,3,1,2,27,92,392,13.066666666666666
Assam,N.C.Hills,1999,19,10,1,2,1,4,8,3,2,3,1,7,16,31,3,29,3,10,5,2,4,21,2,0,2,5,1,16,28,189,9.45
Uttar Pradesh,Gautambudh Nagar,1999,92,60,14,17,1,14,41,28,12,13,2,48,57,728,331,397,79,53,127,1,13,126,16,40,42,55,1,153,673,2445,26.29032258064516
Karnataka,Bagalkot,1999,57,32,9,3,2,2,19,9,11,0,0,4,45,105,26,79,218,8,20,4,13,314,2,38,2,49,2,0,771,1709,29.46551724137931
Madhya Pradesh,Indore Rly.,1999,5,4,4,0,1,0,1,0,1,1,3,9,5,192,1,189,4,2,7,2,2,14,2,6,1,2,1,2,110,352,58.666666666666664
Uttar Pradesh,Mathura,1999,127,169,10,25,1,27,62,31,31,19,0,98,110,371,146,229,170,68,127,3,21,126,21,49,51,75,1,216,1081,2992,23.375
Kerala,Trivandrum,1999,51,81,4,59,2,57,41,22,21,30,11,104,599,634,244,393,894,35,393,17,79,2435,4,344,3,210,2,0,5335,11368,218.6153846153846
Nagaland,Kiphire,1999,3,2,1,1,1,0,2,2,1,2,1,1,4,5,1,5,0,2,1,1,2,1,1,1,1,2,1,2,8,16,4.0
Arunachal Pradesh,Papum Pare,1999,12,9,1,9,2,10,15,6,8,2,0,30,57,107,30,78,11,10,7,3,2,83,2,4,1,3,1,1,129,500,38.46153846153846
Manipur,Tamenglong,1999,2,2,2,1,0,0,2,1,2,1,1,1,1,6,2,4,1,1,2,1,3,0,2,1,2,0,1,1,0,16,5.333333333333333
Arunachal Pradesh,Kameng East,1999,1,2,2,2,1,2,5,5,1,1,2,5,10,25,2,25,0,1,1,1,1,34,1,6,1,2,2,1,29,125,62.5
Maharashtra,Amravati Commr.,1999,44,28,4,21,2,25,26,22,2,10,0,48,260,810,165,651,94,12,43,4,17,430,12,44,28,53,1,59,798,2835,63.0
Sikkim,South,1999,5,1,1,2,2,2,3,0,1,0,2,1,10,7,2,11,2,1,2,2,1,2,1,1,6,1,1,1,41,80,13.333333333333334
Madhya Pradesh,Chhatarpur,1999,52,73,3,66,1,66,27,25,6,5,6,44,242,162,1,164,104,0,35,2,20,447,20,194,8,47,2,94,1717,3361,63.41509433962264
Tamil Nadu,Dindigul,1999,71,74,2,13,2,13,49,37,15,4,2,15,168,480,172,306,70,7,26,1,28,466,9,48,13,9,5,315,2788,4659,64.70833333333333
Tamil Nadu,Trichy Rural,1999,53,38,1,6,1,8,18,15,1,1,0,1,51,214,91,121,55,6,16,2,6,1040,3,23,4,1,1,279,1294,3104,57.48148148148148
Andhra Pradesh,Prakasham,1999,102,84,4,17,0,21,33,11,17,17,0,14,147,277,31,247,139,16,89,2,45,1266,6,140,102,117,2,261,807,3680,35.728155339805824
Tamil Nadu,Chennai Rly.,1999,4,2,2,2,1,0,1,2,2,1,2,7,1,152,2,154,14,1,6,1,2,22,1,5,2,4,0,1,269,491,98.2
Madhya Pradesh,Shivpuri,1999,86,64,1,74,0,74,21,9,9,5,10,48,273,256,218,39,142,11,26,1,37,792,16,173,1,25,1,160,2102,4321,49.666666666666664
Bihar,Araria,1999,47,26,5,91,2,95,77,15,66,38,0,45,80,159,21,144,375,25,47,2,1,8,11,3,2,50,1,24,942,2070,43.125
Delhi Ut,North West,1999,134,108,14,101,2,104,520,298,221,16,7,120,621,2849,1428,1422,20,57,139,5,16,431,26,102,18,22,2,21,4665,10002,74.08888888888889
Bihar,Aurangabad,1999,73,46,0,16,2,18,23,3,20,17,0,29,136,103,7,93,155,15,30,1,2,27,35,14,1,20,1,80,866,1690,22.83783783783784
Chhattisgarh,Raipur,1999,93,104,8,106,1,106,38,27,9,12,6,56,793,954,345,606,110,22,62,2,30,1259,17,251,41,122,0,184,2518,6784,72.17021276595744
Mizoram,Aizawl,1999,10,6,5,28,1,28,1,0,1,2,1,7,267,562,8,551,3,14,46,7,14,41,2,14,1,2,1,10,94,1124,102.18181818181819
Jharkhand,Saraikela,1999,43,54,55,19,2,16,19,15,3,15,5,12,45,125,20,99,30,4,16,1,2,2,5,16,1,0,2,1,234,693,15.75
Chhattisgarh,Raipur,1999,93,100,12,106,0,102,36,28,9,11,6,56,793,954,349,607,108,25,66,3,30,1260,14,255,44,121,2,181,2518,6785,72.18085106382979
Punjab,Khanna,1999,17,19,1,6,2,5,2,2,5,1,3,8,32,46,17,24,3,2,34,3,3,75,4,1,1,15,2,86,125,485,26.944444444444443
Bihar,Sheohar,1999,19,2,2,10,2,10,12,5,4,7,1,9,5,14,0,14,40,1,3,1,0,2,2,2,2,3,1,2,304,430,21.5
Bihar,Jehanabad,1999,72,81,4,6,2,7,36,3,30,17,3,23,54,119,12,110,169,1,51,1,1,1,23,1,1,6,1,1,695,1354,18.54794520547945
Haryana,Kurukshetra,1999,22,7,3,30,0,30,14,16,2,4,2,14,134,343,132,214,2,21,130,3,4,171,11,28,10,67,1,2,738,1751,76.1304347826087
Jammu & Kashmir,Jammu,1999,25,82,7,13,1,13,43,41,0,0,1,2,236,479,211,268,105,10,60,5,13,60,7,38,94,25,2,112,2188,3606,138.69230769230768
Uttar Pradesh,Auraiya,1999,55,55,10,10,0,13,59,23,37,8,1,22,38,81,12,73,42,8,15,1,15,246,19,15,8,26,0,82,322,1136,20.285714285714285
Meghalaya,Khasi Hills East,1999,51,25,3,7,2,5,19,5,14,26,3,70,107,141,9,130,4,14,16,0,18,31,1,10,2,1,2,2,207,754,14.5
Tamil Nadu,Virudhunagar,1999,55,53,2,19,2,16,22,18,5,8,0,18,133,511,63,447,197,13,57,1,15,510,3,79,9,19,2,212,2576,4502,80.39285714285714
Jharkhand,Chatra,1999,41,12,2,8,1,8,9,5,7,23,1,17,29,80,6,73,88,2,12,1,2,2,6,2,1,8,1,0,416,748,17.80952380952381
Madhya Pradesh,Bhind,1999,65,97,1,30,2,33,47,19,25,4,8,29,221,284,23,257,98,11,27,0,16,851,34,82,2,55,2,90,1315,3361,50.92424242424242
Uttar Pradesh,Mirzapur,1999,43,69,9,14,2,17,14,7,10,6,1,18,75,158,26,132,29,18,35,2,1,190,23,16,21,38,1,116,288,1184,26.90909090909091
Mizoram,Serchhip,1999,3,1,2,4,0,5,1,1,0,1,0,1,7,26,2,24,0,2,1,0,1,6,2,2,0,0,0,4,2,56,14.0
Punjab,Ludhiana,1999,75,67,7,39,1,38,89,44,40,7,27,23,250,622,384,240,1,42,437,4,5,258,9,48,13,250,0,208,1312,3787,49.828947368421055
Karnataka,Mysore Rural,1999,54,56,2,12,1,12,12,3,8,0,1,2,165,198,14,186,214,5,17,0,2,1080,6,81,1,51,2,1,944,2900,52.72727272727273
Maharashtra,Osmanabad,1999,48,15,3,14,2,17,6,9,2,6,1,29,189,347,47,305,99,19,35,0,26,903,2,52,6,103,0,173,624,2701,55.12244897959184
D & N Haveli,D And N Haveli,1999,4,0,1,6,1,5,3,0,0,2,1,1,32,43,14,30,5,15,12,0,3,28,0,8,1,6,0,0,181,350,70.0
Himachal Pradesh,Kinnaur,1999,7,0,0,8,2,6,3,3,0,2,2,2,26,0,1,3,4,1,1,2,1,5,1,2,0,2,2,24,64,146,18.25
Andhra Pradesh,Visakhapatnam,1999,22,10,2,14,2,12,13,5,9,0,0,5,325,630,170,460,11,38,194,3,13,325,1,35,461,206,0,194,929,3421,148.7391304347826
Chhattisgarh,Kanker,1999,32,18,3,42,0,43,6,5,1,5,1,3,66,53,9,42,22,3,10,2,1,76,3,34,5,11,1,26,345,760,23.03030303030303
Jharkhand,Jamshedpur,1999,83,191,6,49,2,50,62,51,7,9,0,29,132,342,65,275,132,85,117,1,8,78,8,60,1,88,2,139,1101,2711,32.273809523809526
West Bengal,Malda,1999,54,27,33,38,0,41,37,23,16,1,17,8,10,332,29,306,51,13,16,6,1,89,5,49,2,91,2,149,822,1857,33.763636363636365
Jharkhand,Ranchi,1999,244,67,19,71,2,75,1,2,1,83,6,141,0,649,99,548,66,46,54,1,10,20,6,23,1,78,1,1,20,1602,6.538775510204082
Uttarakhand,Rudra Prayag,1999,3,1,2,2,0,1,1,1,1,1,1,2,3,18,1,18,8,0,1,2,2,8,4,5,0,2,2,11,34,108,27.0
Madhya Pradesh,Shahdol,1999,57,27,4,65,1,65,11,14,1,0,3,35,466,388,54,340,44,15,18,2,25,435,8,218,1,88,2,0,2250,4161,71.74137931034483
Tamil Nadu,Erode,1999,61,22,0,11,2,11,45,16,33,10,1,15,217,663,269,397,64,49,87,3,39,2767,6,73,17,24,2,478,1987,6633,106.98387096774194
Madhya Pradesh,Mandsaur,1999,29,35,1,39,2,43,14,8,5,3,0,31,196,444,95,350,57,14,27,4,27,344,5,100,11,28,2,74,1126,2618,87.26666666666667
Punjab,Kapurthala,1999,18,24,1,6,0,6,17,9,10,4,3,4,54,62,27,37,0,0,142,2,3,90,1,19,2,35,2,61,205,755,39.73684210526316
Maharashtra,Hingoli,1999,37,29,2,20,2,20,7,10,1,3,3,39,120,239,23,219,95,5,18,0,31,471,2,42,2,132,1,61,471,1842,48.473684210526315
Rajasthan,Jodhpur,1999,30,80,4,19,2,22,78,51,26,2,2,41,318,832,269,564,170,81,448,2,38,2733,13,127,1,264,1,191,1055,6536,210.83870967741936
Madhya Pradesh,Harda,1999,15,13,1,30,1,29,4,0,1,0,1,3,44,73,9,63,21,1,7,2,9,107,9,34,0,25,1,2,351,746,46.625
Punjab,Jalandhar,1999,76,73,2,21,1,23,72,48,22,1,17,6,215,289,148,140,2,25,273,11,11,326,19,14,1,103,1,154,754,2462,31.974025974025974
Uttar Pradesh,St.Ravidasnagar,1999,20,26,3,3,0,1,9,9,0,3,2,11,51,101,34,67,28,10,12,1,1,109,9,4,4,25,2,60,115,592,28.19047619047619
Bihar,Purnea,1999,103,90,8,39,2,37,62,25,40,73,6,96,100,229,29,198,269,3,27,3,5,37,8,5,1,24,1,79,783,2054,19.75
Rajasthan,Jhunjhunu,1999,38,18,1,19,2,17,47,25,18,3,3,6,163,390,65,327,261,29,130,1,35,97,1,48,1,125,2,91,2601,4102,105.17948717948718
Bihar,Sheohar,1999,16,2,0,11,0,10,12,9,8,8,1,7,5,17,0,14,38,0,2,0,1,0,3,2,0,2,2,1,305,427,25.11764705882353
Madhya Pradesh,Shahdol,1999,59,30,2,64,1,62,14,12,1,0,2,33,464,391,52,337,46,18,20,2,26,434,9,216,3,85,2,1,2254,4161,69.35
Maharashtra,Ratnagiri,1999,15,4,3,11,2,11,10,6,2,3,2,15,98,255,34,222,68,19,22,0,16,231,1,32,18,61,1,120,431,1429,89.3125
Gujarat,W.Rly,1999,13,10,2,2,0,0,0,1,0,5,0,86,33,900,1,898,5,12,11,3,1,53,2,7,2,6,2,7,266,1423,101.64285714285714
Rajasthan,Rajsamand,1999,16,16,0,11,2,11,61,65,2,2,1,8,79,192,69,123,301,15,117,2,28,1045,5,42,2,103,2,98,722,2870,168.8235294117647
Manipur,Chandel,1999,7,7,2,1,1,2,1,1,0,15,2,5,0,1,0,2,0,2,1,1,2,14,1,2,1,1,2,2,22,75,9.375
Uttar Pradesh,Aligarh,1999,230,243,23,50,1,50,121,80,45,40,5,181,188,727,219,508,367,120,145,3,32,448,46,90,55,258,1,189,1135,4686,20.285714285714285
Tamil Nadu,Thirunelveli Rural,1999,73,126,2,55,1,58,66,52,11,5,2,29,309,559,35,526,97,15,52,12,100,836,4,155,64,14,1,212,3573,6348,85.78378378378379
Uttar Pradesh,Baghpat,1999,90,160,5,16,1,14,31,17,16,18,0,56,46,218,35,182,57,27,41,5,4,3,22,19,11,66,1,22,450,1353,14.868131868131869
Rajasthan,Bundi,1999,31,73,6,34,1,36,121,103,19,2,2,33,224,393,68,322,227,22,108,0,40,1069,2,163,8,158,2,74,1295,4076,127.375
Gujarat,Kheda North,1999,41,6,1,9,2,12,29,28,1,10,1,17,160,359,72,285,63,52,63,3,19,472,0,43,1,122,2,184,2196,3849,91.64285714285714
Madhya Pradesh,Damoh,1999,44,78,2,65,2,65,17,10,9,1,2,22,113,186,18,169,56,2,16,2,33,1043,30,187,2,59,2,0,918,2881,64.02222222222223
Himachal Pradesh,Chamba,1999,11,3,1,11,2,10,17,14,0,2,2,1,92,30,5,23,4,3,8,2,8,65,1,23,0,23,2,39,214,553,46.083333333333336
Maharashtra,Mumbai Rly.,1999,10,7,2,2,2,4,0,2,1,2,2,27,2,1755,0,1758,14,24,34,0,0,28,1,5,2,0,2,2,98,2021,183.72727272727272
Jammu & Kashmir,Leh,1999,3,1,2,1,0,1,2,3,2,2,1,2,8,4,2,5,5,4,3,1,2,1,1,1,1,1,1,2,106,138,34.5
Uttar Pradesh,Azamgarh,1999,121,105,20,9,2,10,45,39,3,9,0,80,147,189,34,157,128,42,74,1,0,354,30,16,16,80,0,27,762,2246,18.40983606557377
Haryana,Gurgaon,1999,69,29,3,30,1,33,51,32,20,6,15,51,296,793,437,358,77,55,30,4,20,245,15,20,22,136,1,6,1529,3502,50.02857142857143
A & N Islands,Total,1999,14,1,0,1,2,4,4,2,2,2,0,4,62,63,5,62,13,12,7,1,5,118,1,19,1,7,2,1,322,659,43.93333333333333
Chhattisgarh,Raigarh,1999,52,22,1,55,0,51,5,4,2,0,3,13,214,171,29,148,33,39,17,2,3,279,0,102,3,22,2,38,570,1649,31.11320754716981
Uttar Pradesh,Bareilly,1999,271,330,30,91,2,93,145,97,48,49,2,140,208,785,145,639,144,83,184,1,17,618,56,110,41,421,0,234,1314,5269,19.371323529411764
Bihar,Samastipur,1999,106,115,18,18,1,20,75,29,47,33,17,63,92,248,27,221,311,40,31,2,43,253,10,17,7,37,27,23,1259,2852,26.654205607476637
Andhra Pradesh,Chittoor,1999,102,56,4,28,1,27,61,35,27,5,0,14,236,721,163,559,158,35,207,11,40,2087,14,110,81,185,0,405,1263,5816,56.46601941747573
Madhya Pradesh,Hoshangabad,1999,55,56,27,67,0,65,16,13,2,1,2,32,254,287,49,234,35,6,25,2,13,477,7,110,6,30,0,0,1242,2741,48.94642857142857
Karnataka,K.G.F.,1999,18,21,1,0,2,1,13,6,4,4,0,8,96,110,20,88,72,0,12,1,2,255,3,13,2,22,2,2,258,908,47.78947368421053
Jammu & Kashmir,Kargil,1999,0,0,2,1,2,1,3,3,1,2,2,0,2,4,2,2,7,0,0,2,2,3,1,1,2,1,0,2,60,81,81.0
Karnataka,Belgaum,1999,122,54,4,6,0,7,28,14,16,18,1,49,214,384,137,245,389,16,103,1,25,1003,5,64,0,127,2,20,2430,5052,41.073170731707314
Uttar Pradesh,Kanpur Nagar,1999,208,197,26,47,1,47,211,175,36,29,2,130,362,1309,636,675,241,179,300,2,29,1040,64,108,213,358,1,386,1372,6808,32.57416267942584
Manipur,Thoubal,1999,32,32,0,2,1,6,20,16,7,1,17,6,7,20,2,21,9,3,17,1,12,55,0,1,2,0,0,4,154,405,12.272727272727273
Andhra Pradesh,Guntakal Rly.,1999,2,1,1,2,1,1,2,2,1,7,1,1,2,160,0,162,1,1,2,1,2,2,1,0,1,2,2,4,102,288,96.0
Andhra Pradesh,Vijayawada,1999,53,43,5,27,1,26,71,46,23,5,2,25,490,2055,262,1793,20,35,615,10,16,1578,0,82,121,521,1,235,725,6733,124.68518518518519
Bihar,Nawadah,1999,75,54,7,15,2,13,43,3,40,16,2,33,37,67,0,62,182,11,29,2,10,282,18,5,2,14,0,60,553,1514,19.92105263157895
Odisha,Jagatsinghpur,1999,24,21,7,14,2,10,19,14,7,9,1,33,73,138,9,129,22,4,7,0,9,114,14,12,3,28,2,33,727,1312,52.48
Bihar,Gopalganj,1999,109,92,6,14,2,12,61,19,39,34,5,74,82,151,23,129,227,43,76,1,8,41,21,2,0,155,2,94,809,2099,19.081818181818182
Assam,Karbi Anglong,1999,63,26,1,6,1,5,39,17,25,13,1,35,14,78,3,78,89,5,13,0,26,65,4,3,0,7,1,36,201,719,11.234375
Jharkhand,Dhanbad Rly.,1999,10,2,0,0,1,0,3,2,5,12,0,15,7,209,4,205,2,1,6,2,2,2,1,1,0,1,2,2,90,358,32.54545454545455
Punjab,Bhatinda,1999,26,37,1,14,1,11,14,9,7,3,3,2,86,96,24,69,0,20,165,2,1,240,3,13,0,58,0,2,294,1081,40.03703703703704
West Bengal,Dakshin Dinajpur,1999,25,2,17,11,2,11,29,30,5,4,12,7,4,126,10,116,41,3,2,4,2,46,6,36,2,100,2,18,517,1011,38.88461538461539
Himachal Pradesh,Kangra,1999,22,15,4,20,1,16,29,21,11,0,2,6,148,108,28,81,125,1,29,3,27,282,2,42,1,59,1,0,1117,2033,88.3913043478261
Karnataka,Chickmagalur,1999,43,24,4,7,1,6,12,6,7,4,1,12,150,223,43,178,188,8,23,4,5,884,6,55,8,83,1,9,1022,2764,62.81818181818182
Odisha,Sonepur,1999,11,21,0,9,2,7,6,6,2,2,1,4,30,35,2,33,19,2,8,0,5,27,8,28,2,13,2,19,203,444,37.0
Uttar Pradesh,Ballia,1999,55,89,11,16,1,19,26,18,9,11,3,12,126,180,17,160,121,12,16,4,1,289,17,8,22,34,2,9,872,1935,34.55357142857143
Uttarakhand,Nainital,1999,35,30,3,4,1,3,15,1,15,5,0,28,65,149,37,115,40,30,25,1,2,177,6,13,5,27,2,1,219,879,24.416666666666668
Maharashtra,Wardha,1999,61,25,6,36,2,34,14,13,0,6,2,21,266,594,31,561,176,14,27,0,27,757,10,96,33,90,2,140,1050,3441,55.5
Rajasthan,Chittorgarh,1999,43,58,5,67,2,67,205,167,37,7,1,48,403,732,134,596,505,39,282,4,61,2522,5,110,5,383,1,127,1454,7060,160.45454545454547
Uttar Pradesh,Raibareilly,1999,89,64,26,60,2,58,59,48,6,5,2,40,161,306,44,258,95,49,35,2,2,377,30,58,15,137,1,128,816,2546,28.288888888888888
Karnataka,Railways,1999,11,0,1,3,1,1,3,2,1,5,0,13,11,330,6,323,14,3,1,6,0,19,0,1,2,2,1,2,172,582,48.5
Andhra Pradesh,Nalgonda,2000,122,62,1,34,1,34,27,19,9,4,1,29,133,317,44,275,218,13,121,8,73,1133,31,186,57,216,2,433,1780,5001,40.65853658536585
Tamil Nadu,Kanchipuram,2000,43,60,2,20,2,23,11,10,6,10,0,12,218,493,90,401,83,1,20,0,32,338,5,29,10,13,8,2,4430,5840,132.72727272727272
Delhi Ut,West,2000,71,72,16,42,1,45,126,95,34,1,13,48,314,1927,1061,863,4,32,156,2,7,280,27,39,10,17,2,60,3882,7150,99.30555555555556
Assam,Kokrajhar,2000,85,27,0,16,2,15,42,12,30,15,0,9,43,87,2,88,50,1,12,0,8,158,2,36,2,18,1,52,115,775,9.011627906976743
Jharkhand,Hazaribagh,2000,85,57,13,73,2,73,33,18,15,61,10,67,102,536,42,491,199,17,74,2,12,100,30,26,2,91,0,0,1036,2620,30.46511627906977
West Bengal,Kolkata,2000,63,153,6,18,1,20,119,77,45,25,60,151,150,4040,1062,2978,274,272,863,55,0,1347,5,167,36,205,1,446,3509,11969,187.015625
Goa,North Goa,2000,24,14,2,5,2,4,4,3,3,4,2,12,190,289,79,213,34,23,30,0,10,94,2,11,4,6,1,108,406,1272,50.88
Karnataka,Mysore Rural,2000,55,56,2,10,1,13,16,4,9,1,0,2,168,200,17,185,212,7,16,3,0,1079,5,80,0,51,0,0,943,2898,51.75
Manipur,Imphal(West),2000,44,44,2,9,1,8,48,35,13,1,2,4,39,123,52,71,83,20,24,10,28,76,0,16,2,2,2,1,523,1085,24.11111111111111
Karnataka,Raichur,2000,34,40,10,14,1,10,11,4,5,6,3,14,139,148,45,104,261,6,94,1,16,600,3,63,4,53,0,16,856,2386,68.17142857142858
Uttarakhand,Chamoli,2000,13,7,3,2,1,6,6,4,2,2,2,7,25,19,4,17,20,1,3,2,4,13,5,13,5,6,2,19,52,229,16.357142857142858
Chhattisgarh,Raipur,2000,87,61,3,159,1,157,39,35,7,5,2,38,469,699,243,457,59,24,101,7,21,905,19,184,35,105,0,273,2300,5594,63.56818181818182
Manipur,Imphal(East),2000,23,25,1,2,2,5,23,18,6,0,2,0,8,37,22,18,9,3,10,5,7,49,2,8,1,1,2,1,170,390,16.25
Tamil Nadu,Villupuram,2000,77,84,0,53,1,53,65,54,14,0,1,2,141,471,140,327,373,14,29,1,24,887,4,94,17,40,2,571,4317,7262,93.1025641025641
Bihar,Bagaha,2000,26,70,11,22,2,22,49,5,45,1,1,9,17,128,2,129,91,3,17,0,8,359,0,4,2,2,0,2,149,975,36.111111111111114
Uttar Pradesh,Sultanpur,2000,86,107,20,22,2,22,33,28,7,4,0,45,99,228,45,188,61,55,55,2,8,316,18,24,13,67,1,139,728,2141,24.60919540229885
Jharkhand,Jamshedpur Rly.,2000,3,2,0,1,2,2,2,1,1,6,1,5,6,114,3,109,2,2,0,2,1,0,0,4,1,2,0,2,55,201,50.25
Uttar Pradesh,Etah,2000,212,280,14,38,2,36,87,51,38,34,2,75,71,238,45,190,147,59,69,5,4,356,82,41,16,87,2,6,1265,3170,14.88262910798122
Delhi Ut,S.T.F.,2000,2,2,1,2,0,0,1,2,0,2,2,0,2,2,2,0,2,1,1,2,1,0,2,2,2,1,0,1,1,0,0.0
Maharashtra,Nandurbar,2000,25,7,2,28,0,28,3,3,2,4,2,16,103,146,25,123,81,13,29,2,7,239,0,42,5,77,2,70,279,1177,45.26923076923077
Tamil Nadu,Total,2000,1661,2205,19,422,2,425,952,608,346,158,5,672,5966,16709,4478,12232,5195,358,2141,105,978,28430,190,1771,1011,816,15,8551,76470,154799,93.1401925391095
Himachal Pradesh,Mandi,2000,5,10,3,22,2,26,9,6,2,2,2,4,85,68,24,47,54,6,12,2,40,215,1,52,6,45,2,64,1067,1775,295.8333333333333
Haryana,Mahendragarh,2000,20,8,3,18,1,17,17,10,11,2,2,3,69,111,39,73,45,19,10,1,21,155,5,24,2,18,1,3,748,1303,62.04761904761905
Madhya Pradesh,Katni,2000,52,38,0,25,1,23,8,1,8,2,2,28,169,240,55,182,35,1,27,2,7,818,12,107,12,58,2,66,588,2285,43.113207547169814
West Bengal,Darjeeling,2000,65,2,21,22,2,21,23,21,1,12,27,25,5,474,117,361,23,1,6,5,0,101,0,23,1,56,2,439,552,1880,28.484848484848484
Tamil Nadu,Trichy Rural,2000,44,52,1,7,1,7,13,12,1,0,1,2,43,157,59,100,69,5,8,0,13,914,11,15,6,2,2,288,1670,3319,73.75555555555556
Nagaland,Kohima,2000,25,14,2,7,1,6,2,2,4,1,2,21,31,64,39,24,2,6,16,0,2,8,2,6,0,1,1,1,133,336,12.923076923076923
Haryana,Sirsa,2000,45,36,4,22,1,18,20,3,21,0,3,17,177,227,96,131,20,25,55,0,3,327,7,30,0,104,2,7,654,1779,38.67391304347826
Haryana,Panchkula,2000,10,9,2,6,1,7,16,14,3,1,2,4,120,226,93,130,1,20,18,4,2,23,3,24,11,44,0,73,439,1056,96.0
Uttar Pradesh,Khiri,2000,174,177,37,84,2,81,113,90,24,19,3,77,159,494,45,443,195,77,66,0,4,402,88,101,24,138,2,95,1231,3753,21.445714285714285
Uttar Pradesh,Gorakhpur,2000,98,76,31,13,0,13,59,50,6,7,2,36,136,192,49,139,118,67,100,1,10,380,15,27,37,50,2,136,1016,2600,26.262626262626263
Jammu & Kashmir,Udhampur,2000,23,26,3,12,1,9,16,15,1,1,2,0,68,116,9,108,48,5,8,1,6,22,4,12,11,9,2,3,626,1009,42.041666666666664
Bihar,Bhagalpur,2000,106,44,3,41,2,42,89,51,39,17,2,65,135,408,44,362,209,37,54,4,14,14,21,11,0,27,2,58,1446,2793,26.102803738317757
Tamil Nadu,Kanyakumari,2000,32,68,2,11,1,10,10,10,0,3,2,3,249,319,41,283,11,3,33,16,15,518,2,42,84,29,2,929,2351,4733,143.42424242424244
Odisha,Keonjhar,2000,75,38,5,40,0,44,24,23,2,7,1,40,105,148,12,139,96,7,23,1,27,117,4,159,18,23,2,198,891,2046,26.92105263157895
Delhi Ut,S.T.F.,2000,1,0,0,0,1,2,1,1,2,0,2,2,1,2,0,2,0,0,2,1,1,1,0,2,1,0,1,1,0,1,0.5
Arunachal Pradesh,Subansiri Lower,2000,10,2,2,1,0,1,6,5,0,0,1,9,15,31,5,27,2,2,2,1,6,17,1,4,2,1,2,1,52,150,13.636363636363637
Uttar Pradesh,G.R.P.,2000,29,14,4,2,1,2,8,4,3,14,3,44,3,2843,82,2761,8,34,40,1,2,0,1,11,33,2,1,1,941,4039,134.63333333333333
